X;Y
0;2,944008175
0,25;2,847077246
0,5;2,48328775
0,75;2,448326202
1;2,122650431
1,25;1,675396283
1,5;1,415798901
1,75;1,417127776
2;1,471952178
2,25;1,931363737
2,5;2,224718183
2,75;2,266166632
3;2,524672484
3,25;2,331200703
3,5;2,38898508
3,75;2,47084137
4;2,749927217
4,25;3,130000434
4,5;3,029849541
4,75;2,982363377
5;3,088093002
5,25;2,600298541
5,5;2,171917708
5,75;1,843260918
6;1,767547391
6,25;1,491263889
6,5;1,731145944
6,75;1,486365906
7;1,163764068
7,25;0,845345577
7,5;0,5684779
7,75;0,68050971
8;0,519889774
8,25;1,051075235
8,5;1,516930353
8,75;2,045677764
9;2,401592886
9,25;2,760554109
9,5;3,034617043
9,75;3,224604345
10;3,576352573
10,25;4,125184022
10,5;4,795242431
10,75;5,125296797
11;5,323061291
11,25;5,316317177
11,5;4,93022914
11,75;4,87702782
12;4,488915453
12,25;4,316423128
12,5;4,304665246
12,75;4,122156376
13;4,103100772
13,25;3,754636093
13,5;3,342827491
13,75;2,865753265
14;2,603586784
14,25;2,660915581
14,5;2,836266978
14,75;3,142437939
15;3,457110951
15,25;3,336990487
15,5;3,699118185
15,75;3,729781781
16;3,564303585
16,25;3,730487693
16,5;3,965852944
16,75;4,250452452
17;4,298364318
17,25;4,511080659
17,5;4,382729732
17,75;4,231528337
18;3,676229149
18,25;3,265102461
18,5;3,084223464
18,75;2,908814949
19;2,904497945
19,25;2,736045725
19,5;2,647988608
19,75;2,340575993
20;1,956312302
20,25;1,702126615
20,5;2,008388694
20,75;2,257564151
21;2,560360492
21,25;3,071993664
21,5;3,634759025
21,75;3,997927463
22;4,400999519
22,25;4,429831695
22,5;4,751289451
22,75;5,299492045
23;5,932978126
23,25;6,156531056
23,5;6,525014266
23,75;6,608192558
24;6,318620408
24,25;6,203103884
24,5;5,779019666
24,75;5,432320737
25;5,41114392
25,25;5,432382599
25,5;5,299057528
25,75;5,088348241
26;4,963207532
26,25;4,197924104
26,5;4,15131501
26,75;3,920669077
27;3,976837434
27,25;4,180707621
27,5;4,684197845
27,75;4,694113157
28;4,747519244
28,25;4,747578781
28,5;4,876697546
28,75;4,976774003
29;5,100531388
29,25;5,410547704
29,5;5,779672023
29,75;5,87792726
30;5,574904702
30,25;5,328500428
30,5;4,975616965
30,75;4,467454069
31;4,403169876
31,25;4,244460235
31,5;4,158721999
31,75;4,16798667
32;3,754769001
32,25;3,649957583
32,5;3,203616147
32,75;3,017223739
33;3,232407635
33,25;3,311509314
33,5;3,734628623
33,75;4,319938451
34;4,805277812
34,25;5,062676704
34,5;5,446247312
34,75;5,398628114
35;5,831442157
35,25;6,500732998
35,5;6,795760153
35,75;7,409248469
36;7,740477413
36,25;7,712891147
36,5;7,653265121
36,75;7,518835639
37;7,094547659
37,25;7,042200518
37,5;6,857523463
37,75;6,698128178
38;6,610128647
38,25;6,285981703
38,5;6,307590635
38,75;5,844485297
39;5,319509635
39,25;5,175441986
39,5;5,317575395
39,75;5,346393219
40;5,800936758
40,25;6,023478882
40,5;6,087020009
40,75;6,12799373
41;6,152025158
41,25;5,976726136
41,5;6,292808137
41,75;6,501612204
42;6,725523733
42,25;7,115120959
42,5;7,192071662
42,75;6,719976476
43;6,356024661
43,25;5,835117728
43,5;5,683808818
43,75;5,312037801
44;5,344401568
44,25;5,326954712
44,5;5,092811514
44,75;4,895228524
45;4,56223917
45,25;4,31854287
45,5;4,444884294
45,75;4,655552553
46;5,005364823
46,25;5,297595914
46,5;5,97454906
46,75;6,462140416
47;6,61274206
47,25;6,83050381
47,5;7,165324662
47,75;7,462934771
48;8,095104865
48,25;8,520341752
48,5;8,90609351
48,75;8,944200473
49;9,143746711
49,25;8,671988938
49,5;8,399316803
49,75;8,243769458
50;8,009038247
50,25;8,148260129
50,5;8,023803294
50,75;7,779114803
51;7,473453005
51,25;7,06435198
51,5;6,763526442
51,75;6,36851469
52;6,440785526
52,25;6,736656409
52,5;6,719160976
52,75;7,075542266
53;7,384553337
53,25;7,339824905
53,5;7,367005198
53,75;7,328132327
54;7,338903381
54,25;7,772745899
54,5;7,866936338
54,75;8,162486518
55;8,197169633
55,25;8,040880965
55,5;7,524356096
55,75;7,316378204
56;6,956673827
