X;Y
1;240997
2;310967
3;303851
4;274869
5;287494
6;280196
7;281104
8;285600
9;262501
10;220459
11;180214
12;167684
13;139765
14;99996
15;95902
16;112593
17;102419
18;93295
19;78571
20;76783
21;80964
22;73599
23;70626
24;67587
25;69557
26;76180
27;151258
28;131489
29;126226
30;151292
31;141695
32;124396
33;126228
34;152163
35;177674
36;171766
37;153343
38;144301
39;189466
40;203723
41;191051
42;210228
43;221802
44;215149
45;219577
46;229566
47;231746
48;267335
49;297443
50;286392
51;236408
52;179556
53;222665
54;304006
55;331308
56;317563
57;309543
58;277220
59;260845
60;252779
61;235229
62;216434
63;189945
64;194048
65;185177
66;163128
67;134667
68;118846
69;112537
70;93744
71;106081
72;95140
73;125372
74;123188
75;109534
76;133848
77;136625
78;157274
79;182059
80;186348
81;180293
82;183347
83;200161
84;186862
85;182689
86;177262
87;181998
88;182587
89;193147
90;181739
91;191566
92;168466
93;156681
94;64258
95;99265
96;186073
97;218177
98;251743
99;274134
100;283823
101;273681
102;275396
103;288554
104;242913
105;211606
106;253062
107;267617
108;262383
109;273064
110;254539
111;235624
112;261034
113;218430
114;224584
115;231482
116;248815
117;237998
118;193759
119;123238
120;118457
121;154400
122;161313
123;96860
124;142727
125;136914
126;121154
127;119252
128;148562
129;169576
130;184621
131;190829
132;196621
133;195468
134;185959
135;181038
136;186196
137;199046
138;187461
139;193693
140;169181
141;185735
142;193623
143;192371
144;182304
145;181758
146;205977
147;207037
148;242425
149;234583
150;248666
151;270763
152;267608
153;277505
154;278386
155;267553
156;279544
157;239755
158;264677
159;279695
160;291930
161;284932
162;294773
163;284261
164;274488
165;261905
166;172324
167;157734
168;153244
169;149042
170;123120
171;100320
172;108093
173;96938
174;152777
175;184788
176;196800
177;174807
178;200137
179;203060
180;189696
181;179884
182;190638
183;206893
184;163961
185;186741
186;217629
187;211918
188;209618
189;209677
190;217288
191;161289
192;175382
193;185354
194;179692
195;201287
196;184958
197;184236
198;198763
199;209444
200;205427
201;218264
202;234753
203;245083
204;247172
205;272647
206;264306
207;216982
208;251549
209;173757
210;272545
211;265199
212;269440
213;294698
214;283662
215;287703
216;279860
217;270246
218;200258
219;158930
220;142072
221;140410
222;135017
223;120417
224;114608
225;91440
226;72559
227;80267
228;92357
229;80363
230;79343
231;60638
232;62425
233;70616
234;68388
235;50030
236;87330
237;193435
238;200221
239;200362
240;195193
241;170579
242;163731
243;171792
244;169855
245;167273
246;179470
247;188182
248;204811
249;202274
250;203872
251;218457
252;200167
253;221826
254;227142
255;237645
256;264605
257;289828
258;296675
259;287467
260;300141
261;277229
262;259873
263;308764
264;302394
265;303950
266;288629
267;255307
268;250283
269;277448
270;257509
271;259551
272;260099
273;246492
274;218308
275;89259
276;75305
277;72236
278;71432
279;66847
280;49336
281;78125
282;71412
283;95585
284;160257
285;148027
286;169835
287;178644
288;180222
289;175017
290;204528
291;188139
292;197418
293;193418
294;195941
295;182610
296;179112
297;166579
298;163770
299;179761
300;178712
301;197838
302;197500
303;168818
304;175163
305;172276
306;238057
307;240627
308;259013
309;249613
310;229595
311;270570
312;267186
313;237598
314;252009
315;275885
316;289866
317;273964
318;253259
319;262323
320;123843
321;220733
322;231372
323;212686
324;191708
325;183613
326;171778
327;97378
328;89495
329;59175
330;72804
331;39976
332;120394
333;124653
334;135326
335;112229
336;127665
337;114638
338;150682
339;148789
340;157694
341;182576
342;139930
343;176820
344;168296
345;145804
346;200151
347;176670
348;183345
349;154388
350;175612
351;156021
352;180843
353;212910
354;226682
355;251435
356;253636
357;249088
358;248021
359;252858
360;243552
361;293748
362;194477
363;282522
364;295303
365;298820
366;303536
367;305565
368;307660
369;323891
370;297724
371;279121
372;276446
373;273552
374;257882
375;245367
376;210298
