X;Y
1;-6,78
2;-1,78
3;-0,17
4;8,28
5;13,64
6;18,76
7;16,86
8;16,16
9;11,94
10;5,55
11;-4,0
12;-10,72
13;-11,12
14;-10,96
15;-4,09
16;5,62
17;15,09
18;15,91
19;18,38
20;17,2
21;9,45
22;5,49
23;3,06
24;-8,16
25;-8,47
26;-5,43
27;-1,53
28;4,26
29;11,17
30;17,71
31;18,67
32;17,29
33;8,23
34;3,49
35;-1,24
36;-8,34
37;-5,73
38;-8,12
39;-2,01
40;3,42
41;12,92
42;19,02
43;18,11
44;14,59
45;10,09
46;4,81
47;-8,93
48;-6,8
49;-5,14
50;-7,07
51;-1,66
52;8,96
53;8,07
54;20,66
55;21,22
56;15,55
57;11,18
58;6,88
59;-5,43
60;-2,56
61;-7,29
62;-3,68
63;-1,85
64;10,38
65;10,52
66;15,36
67;18,53
68;16,02
69;9,55
70;6,53
71;-0,65
72;-3,1
73;-5,16
74;-7,89
75;-3,02
76;10,5
77;10,59
78;15,25
79;21,95
80;16,23
81;11,54
82;4,26
83;-1,26
84;-11,3
85;-5,52
86;-1,09
87;1,4
88;6,86
89;12,21
90;16,12
91;22,25
92;16,96
93;11,6
94;1,96
95;-2,37
96;-13,74
97;-8,03
98;-9,5
99;-3,8
100;3,93
101;14,84
102;12,05
103;20,22
104;16,37
105;10,95
106;4,72
107;0,37
108;-2,93
109;-6,96
110;-7,83
111;0,41
112;4,22
113;11,16
114;14,43
115;18,4
116;18,11
117;11,66
118;5,4
119;-2,6
120;-3,77
121;-3,89
122;-9,91
123;-7,24
124;6,53
125;14,38
126;15,71
127;18,91
128;17,2
129;12,84
130;6,0
131;0,66
132;-4,97
133;-11,47
134;-14,05
135;-4,61
136;5,35
137;11,92
138;17,75
139;17,3
140;16,99
141;12,71
142;6,39
143;-0,12
144;0,4
145;-2,47
146;-11,49
147;3,73
148;4,98
149;15,39
150;17,05
151;18,3
152;20,14
153;11,71
154;6,32
155;-2,8
156;-2,72
157;-6,83
158;-2,39
159;1,03
160;9,43
161;11,06
162;15,21
163;18,77
164;17,22
165;10,81
166;8,2
167;1,52
168;-2,65
169;-6,56
170;-6,06
171;-1,33
172;4,97
173;13,46
174;16,87
175;18,66
176;15,45
177;13,77
178;5,5
179;1,79
180;-7,11
181;-15,14
182;-8,58
183;-1,84
184;8,07
185;16,58
186;18,69
187;26,03
188;21,95
189;11,73
190;3,65
191;2,15
192;-7,84
193;-8,4
194;-11,51
195;-2,73
196;6,04
197;14,46
198;19,22
199;23,01
200;18,69
201;11,61
202;5,81
203;-0,47
204;-0,95
205;-7,46
206;-12,21
207;-3,76
208;7,43
209;14,76
210;16,5
211;20,56
212;17,57
213;12,31
214;5,93
215;1,04
216;-9,1
217;-9,09
218;-4,0
219;-6,87
220;5,54
221;16,65
222;19,56
223;18,41
224;18,15
225;9,84
226;5,98
227;3,24
228;-2,47
229;-9,29
230;-2,53
231;2,23
232;6,72
233;15,74
234;15,87
235;21,05
236;18,85
237;12,15
238;3,22
239;-2,12
240;-4,77
241;-4,92
242;-2,85
243;1,47
244;5,55
245;13,92
246;17,55
247;17,84
248;17,47
249;13,67
250;3,73
251;0,05
252;-0,07
253;-10,62
254;-1,2
255;-0,24
256;7,64
257;15,05
258;17,62
259;20,41
260;18,9
261;11,13
262;3,85
263;-3,35
264;-5,21
265;-8,28
266;-5,13
267;1,84
268;4,79
269;10,49
270;14,01
271;17,39
272;18,42
273;12,54
274;4,33
275;-0,66
276;-0,73
277;-5,32
278;-9,54
279;-5,87
280;7,36
281;15,93
282;17,18
283;19,88
284;18,83
285;14,34
286;6,78
287;-1,42
288;-6,16
289;-7,08
290;-1,97
291;0,05
292;7,66
293;16,16
294;19,45
295;16,28
296;16,14
297;12,08
298;8,13
299;0,95
300;0,26
