X;Y
1;2,332945982
2;3,097117089
3;3,086920708
4;3,054472299
5;2,528064976
6;2,068406565
7;1,553814004
8;1,111508314
9;0,761151946
10;1,180360042
11;1,778014949
12;2,18412433
13;2,539287082
14;3,042231142
15;3,357535884
16;3,222855785
17;2,456276434
18;2,158972353
19;1,768300969
20;1,411622695
21;0,926801694
22;1,451942061
23;1,464618889
24;2,122122493
25;2,742258144
26;2,76202558
27;3,076020758
28;2,981112688
29;2,643537731
30;2,173754566
31;1,701280778
32;1,534966248
33;1,338981397
34;1,445696358
35;1,723888006
36;2,396157112
37;2,6845409
38;2,884018002
39;3,12487134
40;3,229559829
41;2,784441485
42;2,256925065
43;1,682780082
44;1,233400816
45;1,415747478
46;1,688805888
47;1,825070743
48;2,382462006
49;2,919594164
50;3,363584442
51;3,455639085
52;3,267844394
53;2,613809808
54;2,416110522
55;1,69558798
56;1,092120968
57;1,142723041
58;1,289737053
59;1,671711253
60;2,466081218
61;3,155443931
62;2,94540779
63;3,083518385
64;3,100039064
65;2,687909888
66;1,978765605
67;1,510226336
68;1,093977188
69;1,424529139
70;1,436583334
71;1,898807545
72;2,036019679
73;2,894836952
74;3,078367726
75;3,473963145
76;3,31868231
77;2,987768315
78;2,649828058
79;1,786485342
80;1,622761961
81;1,405460016
82;1,474277876
83;2,132451319
84;2,329323406
85;3,118273083
86;3,072894976
87;3,091607959
88;3,239610016
89;2,670578267
90;2,499041076
91;1,705539435
92;1,569920398
93;1,134058258
94;1,271649572
95;1,994736747
96;2,309745552
97;2,81313545
98;3,057885104
99;3,615905047
100;3,13650645
101;2,92712337
102;2,339940778
103;1,966685141
104;1,481416653
105;1,53919951
106;1,688093888
107;1,868556284
108;2,381627579
109;2,872126
110;3,128197854
111;3,437756512
112;3,121184959
113;2,911603169
114;2,425704875
115;2,208005568
116;1,695251378
117;1,670484476
118;1,563130593
119;1,861084125
120;2,162010614
121;2,805162602
122;3,306313836
123;3,427962613
124;3,54038695
125;3,16095524
126;2,543837402
127;2,116991134
128;1,399020672
129;1,470898183
130;1,635087583
131;2,066507673
132;2,518372905
133;2,933370291
134;3,44968971
135;3,604951285
136;3,346685466
137;3,019453365
138;2,633384516
139;2,036466393
140;1,410894733
141;1,425519482
142;1,89771083
143;1,754310557
144;2,510741707
145;2,922234575
146;3,589375096
147;3,874434886
148;3,242411147
149;3,009764221
150;2,767588398
151;1,965280987
152;1,538696013
153;1,783493813
154;2,092371852
155;1,844807783
156;2,578832383
157;2,732581459
158;3,44768492
159;3,577454222
160;3,540888431
161;3,04942891
162;2,727385832
163;2,133158139
164;1,970657533
165;1,329962826
166;1,812530487
167;1,948142048
168;2,439979367
169;3,02642595
170;3,613522193
171;3,572141929
172;3,411299156
173;3,393023109
174;2,659018592
175;2,143850993
176;1,665289844
177;1,67368752
178;1,691688054
179;1,965824941
180;2,890923708
181;3,195560269
182;3,54627959
183;3,885261724
184;3,512825103
185;3,219546351
186;2,806780103
187;2,14879469
188;1,784453693
189;1,760826266
190;1,98086316
191;2,107029832
192;2,588450998
193;3,251192631
194;3,647229172
195;3,812573197
196;3,461399142
197;2,992749171
198;2,605749577
199;2,159565939
200;1,740441337
201;1,734590205
202;2,23538524
203;2,108652198
204;2,604133583
205;3,445617675
206;3,563142933
207;3,545264507
